player,player_id,position,team_name,player_game_count,assists,batted_passes,catch_rate,declined_penalties,forced_fumbles,franchise_id,fumble_recoveries,fumble_recovery_touchdowns,grades_coverage_defense,grades_defense,grades_defense_penalty,grades_pass_rush_defense,grades_run_defense,grades_tackle,hits,hurries,interception_touchdowns,interceptions,longest,missed_tackle_rate,missed_tackles,pass_break_ups,penalties,qb_rating_against,receptions,sacks,safeties,snap_counts_box,snap_counts_corner,snap_counts_coverage,snap_counts_defense,snap_counts_dl,snap_counts_dl_a_gap,snap_counts_dl_b_gap,snap_counts_dl_outside_t,snap_counts_dl_over_t,snap_counts_fs,snap_counts_offball,snap_counts_pass_rush,snap_counts_run_defense,snap_counts_slot,stops,tackles,tackles_for_loss,targets,total_pressures,touchdowns,yards,yards_after_catch,yards_per_reception
Brayden Knox,198997,ED,N TEXAS,6,3,0,,0,0,251,0,0,67.0,65.5,18.8,61.0,67.1,62.4,1,0,0,0,,13.3,2,0,1,0.0,0,1,0,0,0,10,97,97,0,0,95,2,0,0,32,55,0,8,10,1,0,2,0,0,0,
Bryce Garza,199003,LB,N TEXAS,1,1,0,0.0,0,0,251,0,0,40.3,43.3,67.1,,60.7,42.4,0,0,0,0,,50.0,1,0,0,39.6,0,0,0,7,0,5,8,0,0,0,0,0,0,8,0,3,1,0,0,0,1,0,0,0,0,
Alijah Jones,199007,S,NWESTERN,3,1,0,,0,0,256,0,0,68.5,65.5,75.3,57.4,58.0,60.5,0,1,0,0,,16.7,1,0,0,0.0,0,0,0,25,0,30,47,0,0,0,0,0,22,47,2,15,0,2,4,0,0,1,0,0,0,
Jon Stevens Jr.,199008,S,NWESTERN,9,0,0,83.3,0,0,256,0,0,50.3,51.7,79.8,60.0,56.8,61.5,0,0,0,0,27,15.4,2,0,0,144.4,5,0,0,27,3,53,99,0,0,0,0,0,60,99,1,45,8,1,11,1,6,0,1,55,5,11.0
Robby Preckel,199009,HB,NWESTERN,1,0,0,,0,0,256,0,0,,60.0,60.0,60.0,,,0,0,0,0,,,0,0,0,0.0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,
Jonah Hayes,199014,DI,NWESTERN,1,0,0,,0,0,256,0,0,,85.6,71.2,83.8,60.0,,0,1,0,0,,,0,0,0,0.0,0,0,0,0,0,0,8,8,0,0,7,1,0,0,7,1,0,0,0,0,0,1,0,0,0,
Marquet Dorsey Jr.,199015,CB,NWESTERN,3,2,0,50.0,0,0,256,0,0,37.6,41.4,74.1,,65.5,82.9,0,0,0,0,21,0.0,0,0,0,76.0,2,0,0,4,30,23,35,0,0,0,0,0,0,35,0,12,0,0,2,0,4,0,0,31,1,15.5
Caden O'Rourke,199018,ED,NWESTERN,2,1,0,,0,0,256,0,0,,65.5,74.5,54.2,71.0,71.5,0,0,0,0,,0.0,0,0,0,0.0,0,0,0,0,0,0,18,18,0,0,13,5,0,0,9,9,0,0,0,0,0,0,0,0,0,
Mason Mayne,199022,DI,NWESTERN,4,0,0,,0,0,256,0,0,,52.5,0.0,54.4,62.3,73.6,0,1,0,0,,0.0,0,0,1,0.0,0,0,0,0,0,0,38,38,1,37,0,0,0,0,24,14,0,3,3,1,0,1,0,0,0,
Charlie Christopher,199028,LB,OHIO,10,20,2,75.0,0,1,259,1,0,86.8,91.1,83.6,73.7,90.8,89.8,2,4,0,0,21,4.2,3,0,0,84.7,9,2,0,327,0,172,384,16,0,0,16,0,2,368,31,181,39,28,49,2,12,8,0,58,48,6.4
Maliek Hawkins,199031,CB,OKLAHOMA,1,0,0,,0,0,261,0,0,60.8,61.4,67.3,,60.0,,0,0,0,0,,,0,0,0,0.0,0,0,0,0,3,2,3,0,0,0,0,0,0,3,0,1,0,0,0,0,0,0,0,0,0,
Courtland Guillory,199032,CB,OKLAHOMA,13,5,0,46.8,0,0,261,0,0,74.4,74.2,85.1,68.2,65.4,55.4,1,0,0,0,40,19.1,9,7,7,67.2,22,0,0,50,571,383,640,3,0,0,3,0,1,637,3,254,14,12,33,0,47,1,1,215,54,9.8
Omarion Robinson,199038,S,OKLAHOMA,5,1,0,100.0,0,0,261,0,0,73.9,73.2,76.2,,64.0,79.8,0,0,0,0,6,0.0,0,0,0,91.7,1,0,0,8,0,21,36,0,0,0,0,0,23,36,0,15,5,1,2,0,1,0,0,6,1,6.0
Trystan Haynes,199041,CB,OKLAHOMA,1,0,0,,0,0,261,0,0,60.8,61.3,65.6,,,,0,0,0,0,,,0,0,0,0.0,0,0,0,0,2,2,2,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,
Elijah Thomas,199044,WR,OKLAHOMA,1,0,0,,0,0,261,0,0,,60.0,60.0,,60.0,,0,0,0,0,,,0,0,0,0.0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,
Brandon Rawls,199049,LB,OKLA STATE,12,14,0,86.4,0,0,262,0,0,64.0,72.3,86.1,56.6,78.1,73.8,3,3,0,0,34,11.1,8,0,0,128.6,19,1,0,390,2,209,499,62,0,1,61,0,0,437,40,250,45,37,50,3,22,7,2,167,141,8.8
Rashod Bradley,199050,ED,OKLA STATE,4,0,0,,0,0,262,0,0,,51.2,0.0,58.3,59.2,,0,0,0,0,,,0,0,1,0.0,0,0,0,0,0,0,29,29,0,2,15,12,0,0,17,12,0,0,0,0,0,0,0,0,0,
Kobi Foreman,199052,CB,OKLA STATE,3,0,0,,0,0,262,0,0,29.8,27.2,75.0,,34.1,21.7,0,0,0,0,,100.0,1,0,2,0.0,0,0,0,3,17,3,23,3,0,0,3,0,0,20,0,20,0,0,0,0,0,0,0,0,0,
Marco Tyson,199056,S,DOMINION,3,0,0,,0,0,263,0,0,61.2,67.8,71.2,,68.6,77.4,0,0,0,0,,0.0,0,0,0,0.0,0,0,0,12,0,2,16,0,0,0,0,0,4,16,0,14,0,1,2,0,0,0,0,0,0,
Tre' Brown III,199057,WR,DOMINION,2,0,0,,0,0,263,0,0,,60.0,60.0,,60.0,,0,0,0,0,,,0,0,6,0.0,0,0,1,0,0,0,2,0,0,0,0,0,0,2,0,2,0,0,0,0,0,0,0,0,0,
TJ Johnson,199058,WR,DOMINION,2,0,0,,0,0,263,0,0,,60.0,60.0,,60.0,,0,0,0,0,,,0,0,0,0.0,0,0,0,0,0,0,2,0,0,0,0,0,0,2,0,2,0,0,0,0,0,0,0,0,0,
Lucas Struck,199063,S,DOMINION,13,6,0,50.0,0,0,263,1,0,70.3,74.6,85.1,56.5,78.1,79.3,0,0,0,0,4,6.7,2,0,0,56.3,3,0,0,162,0,107,232,6,0,0,6,0,45,226,6,119,16,13,22,0,6,0,0,7,2,2.3
Keshawn Thomas,199064,LB,DOMINION,13,8,0,85.7,0,0,263,0,0,68.0,70.7,27.3,64.6,71.4,66.7,1,2,0,0,15,16.2,6,1,1,88.7,6,4,0,139,0,82,250,64,0,0,64,0,1,186,38,130,46,14,23,1,7,7,0,37,29,6.2
Jorian Haynes,199066,CB,DOMINION,9,3,0,44.4,0,1,263,1,0,62.7,59.3,0.0,59.3,63.4,29.4,0,0,0,0,39,28.6,4,0,2,67.4,4,0,0,10,134,80,149,2,0,0,2,0,0,147,1,68,3,3,7,0,9,0,0,61,30,15.3
Javen Gibson,199067,ED,DOMINION,13,3,0,100.0,0,0,263,0,0,63.8,64.4,0.0,60.9,71.0,65.9,0,17,0,0,1,13.3,2,0,4,79.2,1,4,0,1,0,1,316,314,1,59,161,93,0,2,183,132,0,14,10,1,1,21,0,1,2,1.0
LeDarrion Menter,199072,ED,DOMINION,8,0,0,,0,0,263,0,0,,54.1,74.8,61.3,47.9,71.3,0,1,0,0,,,0,0,0,0.0,0,1,0,0,0,0,26,26,0,5,15,6,0,0,17,9,0,0,0,0,0,2,0,0,0,
Hunter Malecki,199074,DI,DOMINION,13,1,0,,0,0,263,0,0,70.0,61.2,81.8,60.4,55.8,43.1,0,9,0,0,,50.0,3,0,0,0.0,0,3,0,0,0,1,170,170,60,73,26,11,0,0,124,45,0,4,2,0,0,12,0,0,0,
Jackson Forrest,199076,LB,DOMINION,12,9,0,75.0,0,3,263,1,0,83.1,84.8,84.0,86.6,63.5,56.5,1,9,0,0,21,17.1,7,0,1,90.1,6,6,0,302,1,116,307,0,0,0,0,0,1,307,55,136,2,21,25,3,8,16,0,49,37,8.2
Josh Guerrier,199078,S,PITTSBURGH,10,2,0,44.4,0,0,268,0,0,64.6,65.8,80.9,,66.5,44.8,0,0,0,0,30,21.4,3,3,0,97.9,4,0,0,52,0,92,135,2,0,0,2,0,55,133,0,43,26,5,9,0,9,0,1,47,12,11.8
Shawn Lee Jr.,199080,CB,PITTSBURGH,13,3,0,48.3,0,0,268,0,0,80.2,79.0,84.1,,65.3,62.9,0,0,1,1,25,13.5,5,3,0,63.4,14,0,0,19,403,228,427,4,0,0,4,0,0,423,0,199,1,11,29,3,29,0,2,71,17,5.1
JuJu Anderson,199082,ED,PITTSBURGH,1,0,0,,0,0,268,0,0,,76.9,67.8,,69.2,71.5,0,0,0,0,,0.0,0,0,0,0.0,0,0,0,0,0,0,2,2,0,0,2,0,0,0,0,2,0,1,1,0,0,0,0,0,0,
Emmanuel Taylor,199085,LB,PITTSBURGH,4,3,0,75.0,0,0,268,0,0,53.7,59.4,74.3,54.9,74.7,79.9,0,0,0,0,22,0.0,0,0,0,104.2,3,0,0,7,0,13,26,3,0,0,3,0,0,23,4,9,16,0,1,0,4,0,0,38,16,12.7
Justin Thompson,199086,LB,PITTSBURGH,1,0,0,,0,0,268,0,0,60.0,70.7,70.5,66.1,60.9,,0,1,0,0,,,0,0,0,0.0,0,0,0,7,0,1,7,0,0,0,0,0,0,7,3,3,0,0,0,0,0,1,0,0,0,
Vi'Naz Cobb,199097,S,PURDUE,5,2,0,75.0,0,0,273,0,0,42.1,39.7,77.5,,39.7,36.6,0,0,0,0,18,30.8,4,0,0,100.0,3,0,0,32,0,36,80,0,0,0,0,0,42,80,0,44,5,0,7,0,4,0,0,34,17,11.3
Dillan Botts,199102,DI,RICE,13,7,1,,0,0,275,0,0,60.0,69.4,82.8,61.9,70.8,67.4,0,6,0,0,,5.9,1,0,0,0.0,0,1,0,1,0,0,345,344,4,219,21,100,0,1,167,178,0,5,9,0,0,7,0,0,0,
Jo Chavez,199103,S,RICE,11,12,0,78.6,0,0,275,0,0,61.9,60.3,85.4,62.7,54.9,68.2,0,0,0,0,69,15.5,9,1,0,132.3,22,0,0,108,1,223,394,21,0,0,21,0,124,373,11,160,140,13,37,2,28,0,2,281,235,12.8
Jerrick Harper,199104,CB,RICE,11,5,0,62.2,0,1,275,0,0,54.1,50.9,83.6,60.0,36.7,39.1,0,0,0,0,74,22.2,6,2,1,139.0,23,0,0,48,398,244,453,4,0,0,4,0,0,449,1,208,3,5,16,0,37,0,5,404,162,17.6
Semaj Pierre,199107,WR,RICE,1,0,0,,0,0,275,0,0,,44.7,60.0,,60.0,16.8,0,0,0,0,,100.0,1,0,0,0.0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,
Michael Amey III,199108,S,RICE,1,0,0,,0,0,275,0,0,60.9,42.6,66.0,,43.4,74.3,0,0,0,0,,0.0,0,0,0,0.0,0,0,0,6,0,2,7,0,0,0,0,0,0,7,0,5,1,0,1,0,0,0,0,0,0,
Robert Rooks,199109,DI,RICE,4,3,0,,0,0,275,0,0,,46.2,75.9,62.6,42.0,28.7,0,2,0,0,,25.0,1,0,0,0.0,0,0,0,0,0,0,36,36,7,20,1,8,0,0,11,25,0,0,0,0,0,2,0,0,0,
Canaan Edwards,199112,DI,RUTGERS,1,0,0,,0,0,278,0,0,,60.0,66.0,59.8,,,0,0,0,0,,,0,0,0,0.0,0,0,0,0,0,0,1,1,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,
Jyon Simon,199114,DI,RUTGERS,2,0,0,,0,0,278,0,0,,44.0,78.0,60.0,45.1,21.4,0,0,0,0,,100.0,1,0,0,0.0,0,0,0,0,0,0,13,13,13,0,0,0,0,0,1,12,0,0,0,0,0,0,0,0,0,
Isaiah Deloatch,199115,LB,RUTGERS,1,0,0,,0,0,278,0,0,60.0,62.9,63.3,,60.0,,0,0,0,0,,,0,0,0,0.0,0,0,0,2,0,1,2,0,0,0,0,0,0,2,0,1,0,0,0,0,0,0,0,0,0,
DJ McClary,199119,LB,RUTGERS,4,0,0,100.0,0,0,278,0,0,60.7,66.4,75.9,60.0,67.7,78.1,0,0,0,0,2,0.0,0,0,0,79.2,1,0,0,19,0,6,26,5,0,0,5,0,0,21,1,19,2,2,3,1,1,0,0,2,7,2.0
Renick Dorilas,199123,S,RUTGERS,1,0,0,,0,0,278,0,0,,60.0,63.5,,60.0,,0,0,0,0,,,0,0,0,0.0,0,0,0,0,1,0,1,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,
Raedyn Bruens,199132,ED,RUTGERS,1,0,0,,0,0,278,0,0,,38.6,66.3,,53.5,,0,0,0,0,,,0,0,0,0.0,0,0,0,0,0,0,2,2,0,2,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,
Runye Norton,199134,CB,S JOSE ST,7,0,0,100.0,0,0,285,0,0,56.9,58.2,75.1,,64.1,14.9,0,0,0,0,5,50.0,1,1,0,87.5,1,0,0,1,1,24,29,0,0,0,0,0,0,29,0,5,27,0,1,0,1,0,0,5,8,5.0
Charles Cox III,199136,S,S JOSE ST,3,0,0,0.0,0,0,285,0,0,30.7,35.0,75.3,57.9,58.5,56.6,0,0,0,0,,20.0,1,0,0,39.6,0,0,0,14,0,16,33,1,0,0,1,0,16,32,1,16,2,0,4,0,1,0,0,0,0,
Jireh Moe,199148,DI,S JOSE ST,11,6,0,,0,0,285,0,0,64.4,83.1,82.3,78.5,78.2,60.2,0,9,0,0,,13.3,4,0,0,0.0,0,2,0,0,0,1,213,213,78,116,7,12,0,0,95,117,0,13,20,0,0,11,0,0,0,
La'Modrick Spencer,199155,CB,SMU,4,4,0,33.3,0,0,287,0,0,65.8,70.2,82.7,68.4,78.4,65.2,0,0,0,0,31,11.1,1,0,1,55.6,2,0,0,16,4,79,133,6,0,0,6,0,2,127,5,49,105,1,4,1,6,0,0,37,8,18.5
Link Rhodes,199156,WR,SMU,2,0,0,,1,0,287,0,0,,45.9,57.1,,61.4,72.2,0,0,0,0,,,0,0,1,0.0,0,0,0,0,0,0,2,0,0,0,0,0,0,2,0,2,0,0,0,0,0,0,0,0,0,
Mark Iheanachor,199166,LB,SMU,3,1,0,,0,0,287,0,0,65.8,72.9,71.2,72.4,65.8,65.4,0,0,0,0,,20.0,1,0,0,0.0,0,1,0,14,0,10,18,0,0,0,0,0,0,18,1,7,4,3,3,0,0,1,0,0,0,
Javion Holiday,199168,CB,SMU,4,0,0,50.0,0,0,287,0,0,76.4,73.3,77.5,,48.4,80.9,0,0,0,0,29,0.0,0,1,0,71.5,3,0,0,2,47,36,52,0,0,0,0,0,0,52,0,16,2,2,5,0,6,0,0,40,17,13.3
Tyren Polley,199169,S,SMU,5,4,0,56.3,0,0,287,0,0,85.7,80.7,83.0,54.7,68.9,65.3,0,1,0,2,10,14.3,4,2,0,61.7,9,0,0,89,2,155,261,7,0,0,7,0,90,254,16,90,73,8,20,0,16,1,2,49,26,5.4
Jalen Shivers,199170,DI,SMU,3,0,0,,0,0,287,0,0,59.4,42.0,0.0,66.3,55.0,,1,0,0,0,,,0,0,2,0.0,0,0,0,0,0,1,19,19,0,8,5,6,0,0,14,4,0,0,0,0,0,1,0,0,0,
Tyron Winslow,199176,DI,SMU,1,0,0,,0,0,287,0,0,,61.7,66.5,,60.5,,0,0,0,0,,,0,0,0,0.0,0,0,0,0,0,0,2,2,0,2,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,
Zadian Gentry,199177,CB,SMU,1,0,0,0.0,0,0,287,0,0,68.8,69.2,72.6,,60.0,,0,0,0,0,,,0,0,0,39.6,0,0,0,1,19,16,20,0,0,0,0,0,0,20,0,4,0,0,0,0,3,0,0,0,0,
Sael Reyes,199178,S,SMU,2,0,0,,0,0,287,0,0,74.2,77.1,71.5,,66.6,73.1,0,0,0,1,,0.0,0,0,0,0.0,0,0,0,1,0,10,13,0,0,0,0,0,5,13,0,3,7,1,1,0,0,0,0,0,0,
Tirrell Johnson Jr.,199184,ED,S ALABAMA,11,15,1,83.3,0,2,288,0,0,74.9,73.6,72.5,64.3,73.7,83.5,6,15,0,1,11,5.5,3,0,1,83.3,5,2,0,50,0,74,525,454,0,0,454,0,0,71,199,252,21,28,37,4,6,23,1,24,35,4.8
E'Mauri Smiley,199204,ED,S ALABAMA,12,3,0,,0,1,288,0,0,51.6,52.1,41.0,57.8,52.5,28.0,0,3,0,0,,35.7,5,0,1,0.0,0,2,0,0,0,1,179,179,0,13,131,35,0,0,86,92,0,6,6,0,0,5,0,0,0,
Zach Ruffin,199211,LB,SO MISS,1,0,0,,0,0,296,0,0,60.0,62.4,60.0,,,,0,0,0,0,,,0,0,0,0.0,0,0,0,0,0,1,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,
Khalil Foster,199214,S,SO MISS,2,0,0,0.0,0,0,296,0,0,46.6,43.0,0.0,,68.2,77.4,0,0,0,0,,0.0,0,0,1,39.6,0,0,0,2,0,2,8,0,0,0,0,0,6,8,0,6,0,2,2,0,1,0,0,0,0,
Eric Thomas,199219,DI,SYRACUSE,2,0,0,,0,0,304,0,0,,65.4,71.0,57.8,65.8,,0,0,0,0,,,0,0,0,0.0,0,0,0,0,0,0,9,9,2,7,0,0,0,0,5,4,0,0,0,0,0,0,0,0,0,
DeAngelo Thompson,199220,ED,SYRACUSE,2,0,0,,0,0,304,0,0,60.0,60.0,75.3,67.4,54.4,,0,0,0,0,,,0,0,0,0.0,0,0,0,0,0,1,14,14,0,0,14,0,0,0,4,9,0,0,0,0,0,0,0,0,0,
Kaylib Singleton,199221,CB,SYRACUSE,7,5,0,100.0,0,0,304,0,0,65.6,64.9,0.0,,69.4,76.2,0,0,0,0,23,6.3,1,0,1,112.5,6,0,0,11,88,38,105,0,0,0,0,0,0,105,0,67,6,3,10,0,6,0,0,66,36,11.0
Demetres Samuel Jr.,199223,CB,SYRACUSE,12,6,0,54.8,1,1,304,0,0,75.3,76.1,85.7,56.9,75.3,88.1,0,2,0,1,73,4.2,2,7,7,86.8,34,0,0,51,583,387,673,4,0,0,4,0,0,669,2,284,35,14,40,2,62,2,3,441,220,13.0
Jaylen Pray,199226,ED,SYRACUSE,1,0,0,,0,0,304,0,0,,61.5,70.2,59.7,60.9,,0,0,0,0,,,0,0,0,0.0,0,0,0,0,0,0,5,5,0,0,5,0,0,0,2,3,0,0,0,0,0,0,0,0,0,
Davion Kerr,199228,CB,SYRACUSE,1,0,0,100.0,0,0,304,0,0,61.6,55.6,88.5,60.0,48.1,76.2,0,0,0,0,23,0.0,0,0,0,158.3,2,0,0,4,15,13,22,1,0,0,1,0,1,21,1,8,0,1,2,0,2,0,1,25,4,12.5
Rayshon Andrews,199229,CB,SYRACUSE,2,0,0,,0,0,304,0,0,61.5,62.6,66.9,,60.0,,0,0,0,0,,,0,0,0,0.0,0,0,0,1,3,2,4,0,0,0,0,0,0,4,0,2,0,0,0,0,0,0,0,0,0,
Antoine Deslauriers,199230,LB,SYRACUSE,12,18,1,87.5,0,1,304,0,0,59.1,61.8,43.7,62.5,64.1,68.4,0,5,0,0,54,14.5,10,1,1,108.0,21,1,0,374,1,198,449,27,0,0,27,0,0,422,39,212,46,27,41,3,24,6,0,238,179,11.3
Nathan Nyandoro,199231,ED,SYRACUSE,6,2,0,,0,0,304,0,0,60.7,63.3,19.6,61.4,65.6,79.4,1,1,0,0,,11.1,1,0,1,0.0,0,0,0,0,0,0,97,97,0,2,79,16,0,0,43,54,0,1,6,1,0,2,0,0,0,
Perry Cole Jr.,199241,DI,TCU,7,7,0,,0,0,305,0,0,60.0,62.1,76.4,53.2,65.2,68.1,0,0,0,0,,9.1,1,0,0,0.0,0,0,0,1,0,0,60,59,0,33,0,26,0,1,24,36,0,3,3,0,0,0,0,0,0,
Kelten Mickell,199242,DI,TCU,4,1,0,,0,0,305,0,0,,67.2,72.9,56.8,69.0,69.7,0,0,0,0,,0.0,0,0,0,0.0,0,0,0,0,0,0,14,14,2,12,0,0,0,0,6,8,0,0,0,0,0,0,0,0,0,
Chad Woodfork,199249,ED,TCU,2,0,0,,0,0,305,0,0,,44.7,73.0,56.5,45.7,18.4,0,0,0,0,,100.0,1,0,0,0.0,0,0,0,0,0,0,16,16,0,0,9,7,0,0,5,11,0,0,0,0,0,0,0,0,0,
Gil Jackson,199261,CB,TCU,9,0,0,53.8,0,0,305,0,0,58.7,61.0,79.9,59.3,71.2,82.9,1,0,0,0,36,0.0,0,0,2,100.2,7,0,0,8,122,73,134,2,0,0,2,0,1,132,1,60,0,2,7,0,13,1,1,86,21,12.3
Julius Simms,199267,S,TCU,8,2,0,66.7,0,0,305,0,0,56.6,63.3,79.3,67.3,70.5,64.7,0,0,0,1,23,14.3,2,0,0,55.6,2,1,0,45,0,47,116,2,0,0,2,0,10,114,6,63,58,4,10,1,3,1,0,27,40,13.5
Jon Denman,199271,HB,TCU,1,0,0,,0,0,305,0,0,,60.0,60.0,,60.0,,0,0,0,0,,,0,0,0,0.0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,
Curly Ordonez,199275,LB,TEMPLE,12,19,0,56.0,1,0,306,0,0,62.9,69.0,21.1,57.5,75.9,81.6,3,10,0,0,34,10.6,9,1,2,73.9,14,1,0,449,4,249,571,45,0,0,45,0,0,526,45,277,73,29,57,5,25,14,0,151,138,10.8
Quaire Locks,199276,CB,TEMPLE,2,0,0,,0,0,306,0,0,,60.0,73.0,,60.0,,0,0,0,0,,,0,0,0,0.0,0,0,0,0,0,0,2,0,0,0,0,0,0,2,0,2,0,0,0,0,0,0,0,0,0,
Devontae Ward-Grant,199281,CB,TEMPLE,3,2,0,100.0,0,0,306,0,0,68.4,64.9,76.6,,55.6,61.2,0,0,0,0,14,16.7,1,0,0,108.3,2,0,0,8,50,17,62,0,0,0,0,0,0,62,0,45,3,1,3,0,2,0,0,20,17,10.0
Elijah Barnes,199285,LB,TEXAS,4,1,0,100.0,0,0,311,0,0,44.1,60.6,73.5,74.4,73.5,79.5,0,2,0,0,16,0.0,0,0,0,112.5,3,1,0,38,0,23,43,3,0,0,3,0,0,40,7,13,2,2,2,0,3,3,0,33,13,11.0
Jonathan Cunningham,199286,CB,TEXAS,2,0,0,0.0,0,0,311,0,0,58.9,59.3,74.4,,60.0,76.2,0,0,0,0,,0.0,0,0,0,39.6,0,0,0,2,0,12,16,0,0,0,0,0,2,16,0,4,12,1,1,0,1,0,0,0,0,
Smith Orogbo,199287,ED,TEXAS,3,0,0,,0,1,311,0,0,60.0,78.0,75.8,76.7,60.2,71.5,0,2,0,0,,,0,0,0,0.0,0,1,0,2,0,1,21,19,0,0,19,0,0,2,17,3,0,1,0,0,0,3,0,0,0,
Josiah Sharma,199291,DI,TEXAS,3,0,0,,0,0,311,0,0,,66.7,73.7,57.2,69.3,70.2,0,0,0,0,,0.0,0,0,0,0.0,0,0,0,0,0,0,19,19,6,13,0,0,0,0,11,8,0,1,1,0,0,0,0,0,0,
Zelus Hicks,199295,S,TEXAS,1,0,0,,0,0,311,0,0,63.0,62.9,70.7,,60.0,,0,0,0,0,,,0,0,0,0.0,0,0,0,1,0,5,6,0,0,0,0,0,4,6,0,1,1,0,0,0,0,0,0,0,0,
Graceson Littleton,199296,CB,TEXAS,13,11,0,64.1,0,2,311,0,0,70.6,71.7,15.5,61.1,80.4,62.7,1,2,0,2,60,17.5,10,3,3,68.6,41,0,0,57,24,407,616,3,0,0,3,0,37,613,11,198,495,15,36,2,64,3,0,401,241,9.8
Lance Jackson,199297,ED,TEXAS,13,3,0,100.0,1,0,311,0,0,53.6,58.0,26.4,57.6,66.0,53.4,3,12,0,0,13,29.4,5,0,2,118.8,1,2,0,1,0,8,261,260,2,36,197,25,0,1,166,87,0,9,9,0,1,17,0,13,19,13.0
Caleb Chester,199298,CB,TEXAS,1,0,0,,0,0,311,0,0,62.3,62.7,69.0,,60.0,,0,0,0,0,,,0,0,0,0.0,0,0,0,0,6,5,6,0,0,0,0,0,0,6,0,1,0,0,0,0,0,0,0,0,0,
Kade Phillips,199299,CB,TEXAS,9,3,0,59.1,0,0,311,0,0,80.3,78.6,81.7,,63.6,69.4,0,0,0,0,18,12.5,3,4,1,99.8,13,0,0,19,228,161,256,0,0,0,0,0,1,256,0,95,8,8,18,2,22,0,2,96,24,7.4
Jonah Williams,199300,S,TEXAS,6,0,0,0.0,0,0,311,0,0,70.5,68.9,78.4,,58.1,72.2,0,0,0,0,,16.7,1,0,0,39.6,0,0,0,9,0,60,71,1,0,0,1,0,57,70,0,11,4,0,5,0,1,0,0,0,0,
Myron Charles,199302,DI,TEXAS,2,1,0,,0,0,311,0,0,,65.7,70.5,58.0,60.3,70.2,0,0,0,0,,0.0,0,0,0,0.0,0,0,0,0,0,0,8,8,0,8,0,0,0,0,7,1,0,0,0,0,0,0,0,0,0,
Justus Terry,199306,DI,TEXAS,9,2,0,,0,0,311,0,0,,74.1,78.0,63.6,76.8,61.6,1,3,0,0,,12.5,1,0,0,0.0,0,0,0,0,0,0,74,74,0,36,18,20,0,0,44,30,0,4,5,2,0,4,0,0,0,
Brock Golwas,199311,LB,TEXAS TECH,11,1,0,33.3,0,0,315,0,0,78.6,71.7,76.5,49.5,61.3,86.2,0,3,0,0,1,0.0,0,0,0,42.4,1,0,0,80,0,47,99,0,0,0,0,0,0,99,5,47,19,6,11,0,3,3,0,1,0,1.0
Cameron Gwinn,199319,DI,TOLEDO,2,1,0,,0,0,316,0,0,,56.8,70.2,53.1,62.0,27.6,0,0,0,0,,0.0,0,0,0,0.0,0,0,0,0,0,0,8,8,0,8,0,0,0,0,5,3,0,0,0,0,0,0,0,0,0,
Tyler Hackenbracht,199323,S,TOLEDO,2,0,0,0.0,0,0,316,0,0,64.1,64.3,73.6,,61.5,,0,0,0,0,,,0,0,0,39.6,0,0,0,6,1,8,19,0,0,0,0,0,6,19,0,11,6,0,0,0,1,0,0,0,0,
DJ Kelly,199325,CB,TOLEDO,8,2,0,37.5,0,0,316,0,0,75.4,76.6,80.9,69.0,69.7,66.4,0,0,0,1,32,14.3,1,1,0,16.1,3,1,0,1,122,84,138,0,0,0,0,0,0,138,2,52,14,2,4,0,8,1,0,43,15,14.3
Jordin Farrow,199326,DI,TOLEDO,1,0,0,,0,0,316,0,0,,46.4,70.2,59.4,49.7,,0,0,0,0,,,0,0,0,0.0,0,0,0,0,0,0,7,7,0,7,0,0,0,0,2,5,0,0,0,0,0,0,0,0,0,
Gavyn Baker,199328,FB,TROY,1,0,0,,0,0,318,0,0,,60.0,60.0,60.0,,,0,0,0,0,,,0,0,0,0.0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,
Donnie Smith,199329,ED,TROY,14,9,1,,0,1,318,0,0,73.1,70.3,90.5,71.0,60.3,73.1,4,24,0,0,,12.1,4,0,0,0.0,0,11,0,53,0,38,479,404,0,0,404,0,0,75,235,206,20,23,20,1,0,39,0,0,0,
Jaquez White,199330,CB,TROY,14,6,0,54.5,0,0,318,0,0,85.5,86.4,23.6,67.6,88.3,61.1,1,3,1,3,34,17.2,15,10,5,72.8,36,1,0,87,769,433,879,8,0,0,8,0,3,871,16,430,11,33,66,3,66,5,4,380,111,10.6
