player,player_id,position,team_name,player_game_count,accuracy_percent,aimed_passes,attempts,avg_depth_of_target,avg_time_to_throw,bats,big_time_throws,btt_rate,completion_percent,completions,declined_penalties,def_gen_pressures,drop_rate,dropbacks,drops,first_downs,franchise_id,grades_hands_fumble,grades_offense,grades_pass,grades_run,hit_as_threw,interceptions,passing_snaps,penalties,pressure_to_sack_rate,qb_rating,sack_percent,sacks,scrambles,spikes,thrown_aways,touchdowns,turnover_worthy_plays,twp_rate,yards,ypa
Xavier Ward,146492,QB,S JOSE ST,3,53.3,30,32,9.8,2.78,1,1,2.8,37.5,12,0,12,25.0,36,4,6,285,35.7,28.4,28.3,50.0,1,4,41,0,0.0,8.9,0.0,0,4,0,0,0,4,9.8,116,3.6
Austin Mack,171934,QB,ALABAMA,4,83.3,30,32,4.5,3.02,1,0,0.0,75.0,24,0,13,4.0,40,1,16,103,69.5,66.2,66.6,62.9,0,0,41,1,23.1,115.1,7.5,3,5,0,1,2,0,0.0,228,7.1
AJ Hill,198754,QB,MEMPHIS,2,67.9,28,32,8.5,2.93,1,1,2.9,59.4,19,0,9,0.0,33,0,10,218,68.6,52.3,53.6,,0,1,35,1,11.1,78.0,3.0,1,0,0,3,1,2,5.7,223,7.0
Brendan Sullivan,145034,QB,TULANE,11,78.6,28,31,9.5,3.84,0,4,11.1,64.5,20,0,21,9.1,46,2,14,319,75.8,60.8,74.7,49.7,2,2,52,0,14.3,81.8,6.5,3,12,0,1,2,2,3.8,233,7.5
Luke Doty,124230,QB,S CAROLINA,3,70.0,30,30,7.3,2.45,0,0,0.0,63.3,19,0,9,9.5,36,2,11,289,33.3,61.6,61.4,59.2,0,1,37,0,11.1,61.5,2.8,1,5,0,0,0,1,2.7,148,4.9
Angel Flores,164493,QB,C MICHIGAN,9,73.1,26,30,6.8,2.39,1,3,10.0,63.3,19,0,16,0.0,38,0,8,134,61.5,82.5,65.8,77.2,0,1,39,2,18.8,90.3,7.9,3,4,1,2,2,3,7.7,195,6.5
Kyle Crum,158784,QB,S DIEGO ST,1,51.9,27,29,12.6,2.87,2,1,3.2,48.3,14,0,8,0.0,32,0,8,284,71.3,39.5,39.2,57.7,0,2,34,1,12.5,49.4,3.1,1,2,0,0,1,4,11.8,169,5.8
Josh Johnson,186429,QB,AIR FORCE,5,66.7,27,28,15.9,3.21,1,4,13.8,57.1,16,0,13,11.1,38,2,14,101,52.1,72.1,79.1,58.3,0,2,39,0,30.8,111.6,10.5,4,6,0,0,4,2,5.1,374,13.4
Aaron Philo,183222,QB,GA TECH,1,84.6,26,28,9.4,2.32,0,4,13.3,75.0,21,0,11,4.5,30,1,11,176,29.9,76.3,72.2,69.7,1,1,32,0,9.1,113.7,3.3,1,1,0,1,1,3,9.4,373,13.3
Michael Hawkins Jr.,184595,QB,OKLAHOMA,2,65.4,26,27,10.6,2.58,0,0,0.0,55.6,15,0,9,11.8,33,2,11,261,39.7,74.1,62.9,76.9,1,0,34,0,33.3,111.2,9.1,3,3,0,0,3,1,2.9,167,6.2
Ryan Puglisi,184571,QB,GEORGIA,6,80.8,26,27,8.2,2.35,1,1,3.7,59.3,16,0,7,23.8,30,5,8,173,71.1,76.6,78.9,58.1,0,2,30,0,14.3,57.8,3.3,1,2,0,0,1,1,3.3,161,6.0
Kenny Minchey,171091,QB,NOTRE DAME,5,76.9,26,26,11.5,2.72,0,2,7.4,76.9,20,0,10,0.0,29,0,11,258,73.0,87.5,83.9,71.8,0,0,30,1,0.0,97.6,0.0,0,3,0,0,0,0,0.0,196,7.5
Turner Helton,163044,QB,GA SOUTHRN,3,65.2,23,26,6.0,2.8,0,1,3.6,53.8,14,0,9,6.7,28,1,6,174,68.2,61.5,64.2,52.6,1,0,30,0,0.0,72.3,0.0,0,2,0,2,1,0,0.0,74,2.8
Deuce Knight,198161,QB,AUBURN,2,72.0,25,25,10.3,2.88,0,1,3.8,68.0,17,0,8,5.6,34,1,16,115,22.4,69.8,42.2,93.2,0,0,35,0,37.5,128.6,8.8,3,6,0,0,2,4,11.4,259,10.4
John Alan Richter,156999,QB,TOLEDO,3,80.0,25,25,11.7,2.74,0,1,4.0,68.0,17,0,5,15.0,29,3,13,316,68.2,73.8,78.7,55.8,0,1,30,1,20.0,107.2,3.4,1,3,0,0,3,0,0.0,153,6.1
Chaston Ditta,198345,QB,E CAROLINA,4,80.0,20,24,8.4,2.52,2,1,4.0,50.0,12,0,11,25.0,30,4,6,156,73.3,59.6,53.7,64.9,0,0,31,0,45.5,120.7,16.7,5,1,0,2,3,1,3.2,215,9.0
Jake Merklinger,184888,QB,TENNESSEE,3,81.0,21,24,10.6,3.24,0,1,4.2,54.2,13,0,10,23.5,28,4,12,307,68.6,81.6,80.8,64.4,2,0,28,0,10.0,105.0,3.6,1,3,0,1,2,0,0.0,173,7.2
Alberto Mendoza,188673,QB,INDIANA,6,83.3,24,24,8.0,2.0,0,0,0.0,75.0,18,0,2,10.0,25,2,13,190,74.8,85.5,69.6,83.6,0,1,25,1,0.0,136.5,0.0,0,1,0,0,5,2,8.0,286,11.9
Michael Johnson Jr.,97796,QB,AKRON,7,65.0,20,23,8.2,2.83,2,0,0.0,52.2,12,0,10,7.7,33,1,6,102,48.0,60.3,60.3,59.5,1,0,35,1,40.0,72.6,12.1,4,6,0,0,1,0,0.0,62,2.7
Matthew Wilson,184618,QB,APP STATE,1,72.2,18,22,5.6,2.79,1,1,4.3,54.5,12,0,9,7.7,24,1,8,108,72.6,56.0,35.1,75.3,0,2,25,0,0.0,33.9,0.0,0,2,0,3,0,2,8.0,128,5.8
Drew Devillier,190639,QB,RICE,6,66.7,21,22,7.1,2.3,1,1,4.2,50.0,11,0,5,21.4,26,3,6,275,32.3,54.7,64.6,46.6,0,0,28,0,0.0,84.8,0.0,0,4,0,0,1,1,3.6,137,6.2
Baron May,76359,QB,BOWL GREEN,1,66.7,18,22,9.4,2.51,2,3,12.5,54.5,12,0,10,0.0,27,0,8,122,34.8,64.9,58.0,71.0,2,0,29,1,30.0,89.6,11.1,3,2,0,0,1,1,3.4,142,6.5
Cole Ballard,173062,QB,KANSAS,5,57.1,21,22,12.0,2.53,0,1,4.5,45.5,10,0,6,16.7,24,2,7,198,40.4,68.2,59.3,69.6,1,1,24,0,16.7,56.6,4.2,1,1,0,0,1,0,0.0,108,4.9
Cole Gonzales,159939,QB,PITTSBURGH,3,61.9,21,22,8.8,2.27,0,1,4.5,50.0,11,0,9,15.4,24,2,3,268,67.6,51.0,52.6,56.7,1,1,24,0,11.1,62.3,4.2,1,1,0,0,1,2,8.3,118,5.4
Zeon Chriss-Gremillion,156733,QB,HOUSTON,4,55.0,20,21,9.5,2.71,1,1,4.2,47.6,10,0,12,9.1,24,1,4,182,36.2,55.4,42.2,70.5,0,1,27,0,8.3,59.2,4.2,1,2,0,0,1,3,11.1,108,5.1
Deuce Adams,190581,QB,LOUISVILLE,3,84.2,19,21,6.1,2.68,2,2,9.5,71.4,15,0,9,6.3,25,1,5,210,34.5,64.9,73.1,53.5,0,0,25,0,22.2,83.8,8.0,2,2,0,0,0,0,0.0,112,5.3
Hank Brown,172439,QB,IOWA,3,68.4,19,21,6.1,2.58,0,0,0.0,52.4,11,0,6,15.4,21,2,6,192,26.9,54.4,62.1,42.7,2,1,21,0,0.0,63.0,0.0,0,0,0,0,1,0,0.0,107,5.1
Jalen Macon,153929,QB,N ILLINOIS,3,50.0,20,21,11.9,3.24,0,0,0.0,42.9,9,0,12,10.0,29,1,8,254,79.1,71.3,45.6,75.9,0,0,30,0,8.3,74.5,3.4,1,7,0,1,1,0,0.0,105,5.0
Brady Lichtenberg,144226,QB,CINCINNATI,2,70.0,20,21,5.7,2.93,0,1,4.8,66.7,14,0,7,0.0,24,0,8,138,68.2,66.5,67.4,64.9,0,1,26,0,14.3,96.1,4.2,1,2,0,1,2,0,0.0,134,6.4
Shaker Reisig,199615,QB,BOSTON COL,3,55.6,18,19,12.3,2.85,1,2,10.5,52.6,10,0,9,0.0,26,0,7,121,33.1,48.7,45.3,62.5,0,2,26,0,33.3,54.8,11.5,3,4,0,0,1,2,7.7,141,7.4
Emory Williams,170099,QB,MIAMI FL,4,68.4,19,19,8.0,2.38,0,0,0.0,68.4,13,0,4,0.0,21,0,7,220,25.9,64.5,59.5,67.7,0,0,21,0,50.0,93.3,9.5,2,0,0,0,0,1,4.8,156,8.2
CJ Montes,146114,QB,KENT STATE,2,64.7,17,19,5.0,2.83,2,0,0.0,52.6,10,0,13,9.1,26,1,6,201,69.5,58.1,52.1,66.5,0,1,26,0,38.5,72.3,19.2,5,2,0,0,1,0,0.0,140,7.4
Braden Streeter,185330,QB,DELAWARE,2,72.2,18,19,10.1,2.72,1,1,5.3,63.2,12,0,5,7.7,20,1,5,151,68.5,70.5,72.0,57.2,0,1,20,0,0.0,71.8,0.0,0,1,0,0,1,1,5.0,98,5.2
Braxton Woodson,175276,QB,NAVY,4,61.1,18,19,11.3,2.88,0,2,10.5,47.4,9,0,15,18.2,25,2,8,237,57.8,92.1,74.2,88.2,0,0,25,0,20.0,65.7,12.0,3,3,0,1,0,1,4.0,110,5.8
Kevin Sperry,198436,QB,FLORIDA ST,3,70.6,17,18,14.6,3.31,0,0,0.0,66.7,12,0,8,0.0,23,0,9,167,68.8,65.4,64.9,60.9,0,0,24,1,25.0,139.6,8.7,2,3,0,1,2,0,0.0,194,10.8
James Laubstein,190465,QB,NEW MEXICO,5,82.4,17,18,6.4,2.91,1,0,0.0,66.7,12,0,6,14.3,22,2,9,241,64.4,88.2,72.2,77.5,0,0,23,0,0.0,120.8,0.0,0,4,0,0,2,0,0.0,113,6.3
Jaylen Henderson,146054,QB,W VIRGINIA,5,50.0,18,18,9.4,2.53,0,1,5.0,38.9,7,0,12,22.2,24,2,2,343,49.6,54.3,27.2,78.1,0,0,26,0,33.3,47.0,16.7,4,2,0,0,0,3,11.5,50,2.8
Ksaan Farrar,198321,QB,UCONN,2,81.3,16,18,6.0,2.72,2,0,0.0,61.1,11,0,7,15.4,23,2,6,146,69.9,70.9,63.0,74.3,0,0,24,0,57.1,72.5,17.4,4,1,0,0,0,0,0.0,84,4.7
JacQai Long,184703,QB,MARSHALL,5,53.8,13,18,8.5,3.11,0,0,0.0,33.3,6,0,12,14.3,22,1,1,214,22.4,41.4,27.3,71.1,2,0,22,0,33.3,42.4,18.2,4,0,0,3,0,3,13.6,31,1.7
Blaze Berlowitz,171066,QB,VANDERBILT,6,62.5,16,17,10.3,2.83,0,1,5.6,52.9,9,0,8,10.0,20,1,7,333,73.6,57.2,44.9,68.5,0,0,21,0,0.0,97.9,0.0,0,2,0,1,1,1,4.8,131,7.7
Khristian Martin,188254,QB,MARYLAND,5,82.4,17,17,8.9,2.11,0,2,11.1,64.7,11,0,6,21.4,19,3,4,215,69.1,82.1,81.5,64.1,0,0,20,0,16.7,81.7,5.3,1,1,0,0,0,0,0.0,105,6.2
Patrick Crayton Jr.,204285,QB,RICE,3,61.5,13,17,6.0,1.94,1,1,5.9,47.1,8,0,11,0.0,21,0,4,275,18.9,39.1,45.0,44.7,2,2,21,0,36.4,43.4,19.0,4,0,1,0,1,1,4.8,90,5.3
Brayden Roggow,184145,QB,AKRON,3,73.3,15,17,6.3,2.34,0,0,0.0,64.7,11,0,3,0.0,17,0,5,102,68.9,65.6,60.9,66.7,0,0,17,0,0.0,78.3,0.0,0,0,0,2,0,0,0.0,91,5.4
Jared Hollins,184343,QB,S ALABAMA,4,80.0,15,16,3.7,2.61,1,2,10.0,75.0,12,0,5,0.0,17,0,5,288,67.2,67.8,70.1,,0,0,21,1,20.0,111.7,5.9,1,0,0,0,1,0,0.0,101,6.3
Brock Thomas,176601,QB,OREGON,5,92.3,13,16,7.6,2.86,2,0,0.0,75.0,12,0,4,0.0,20,0,7,264,36.6,58.2,59.3,56.3,1,0,22,0,25.0,119.3,5.0,1,3,0,0,1,1,4.5,130,8.1
Bert Emanuel Jr.,158581,QB,S DIEGO ST,6,69.2,13,16,3.4,2.83,0,0,0.0,56.3,9,0,5,0.0,19,0,6,284,55.8,69.9,50.6,73.2,0,0,22,1,20.0,68.2,5.3,1,2,0,3,0,1,4.5,74,4.6
Braedyn Locke,157141,QB,ARIZONA,3,46.7,15,16,8.7,2.54,0,0,0.0,37.5,6,0,6,14.3,19,1,3,109,69.8,33.3,29.5,61.5,1,1,22,0,50.0,25.3,15.8,3,0,0,0,0,2,9.1,69,4.3
Billy Edwards Jr.,144185,QB,WISCONSIN,2,53.8,13,16,14.8,2.48,1,0,0.0,43.8,7,0,6,0.0,16,0,6,349,66.7,50.6,49.6,,0,0,17,0,0.0,68.0,0.0,0,0,0,2,0,0,0.0,113,7.1
Devin Kargman,156913,QB,KENT STATE,2,53.3,15,16,10.1,2.18,0,0,0.0,43.8,7,0,10,12.5,19,1,3,201,66.8,51.6,50.4,,0,1,19,0,30.0,30.2,15.8,3,0,0,1,0,1,5.3,68,4.3
Keelon Russell,198077,QB,ALABAMA,2,80.0,15,15,7.4,2.86,0,1,6.3,73.3,11,0,4,8.3,17,1,10,103,67.6,77.5,73.5,68.2,0,0,18,0,0.0,142.5,0.0,0,2,0,0,2,1,5.6,143,9.5
Husan Longstreet,199411,QB,USC,2,92.9,14,15,2.8,3.05,0,0,0.0,86.7,13,0,4,0.0,21,0,9,326,28.6,66.1,51.3,72.5,0,0,22,0,25.0,117.5,4.8,1,5,0,1,1,1,4.5,103,6.9
Nick Evers,158082,QB,UCONN,2,73.3,15,15,7.5,2.22,0,0,0.0,66.7,10,0,1,9.1,15,1,5,146,67.3,62.6,63.0,59.7,0,0,15,0,0.0,109.0,0.0,0,0,0,0,1,0,0.0,105,7.0
Miles O'Neill,191260,QB,TEXAS A&M,3,61.5,13,14,18.8,3.47,1,2,13.3,50.0,7,0,10,12.5,21,1,3,312,69.3,58.9,56.6,60.5,0,2,22,0,20.0,63.7,9.5,2,5,0,0,1,2,9.1,120,8.6
Noah Walters,164315,QB,OKLA STATE,2,50.0,14,14,9.4,2.39,0,0,0.0,42.9,6,0,2,14.3,17,1,4,262,71.2,47.7,45.7,57.1,0,0,18,0,50.0,83.0,5.9,1,1,0,0,1,1,5.6,72,5.1
Lincoln Kienholz,170256,QB,OHIO STATE,4,84.6,13,14,7.2,2.95,0,0,0.0,78.6,11,0,5,0.0,16,0,10,260,73.7,86.8,81.6,73.1,0,0,17,0,0.0,131.8,0.0,0,2,0,1,1,0,0.0,139,9.9
Kemper Hodges,186426,QB,AIR FORCE,3,46.2,13,14,13.4,3.26,0,0,0.0,42.9,6,0,9,0.0,18,0,4,101,58.9,74.8,42.8,78.2,0,0,19,0,33.3,59.8,16.7,3,1,0,1,0,1,5.3,74,5.3
Locklan Hewlett,199429,QB,USF,2,69.2,13,13,13.7,2.62,0,1,7.7,61.5,8,0,3,11.1,15,1,2,327,66.4,61.1,63.7,56.7,0,1,15,0,33.3,75.8,6.7,1,1,0,0,1,1,6.7,90,6.9
Lucas Scheerhorn,190304,QB,RICE,3,91.7,12,13,0.8,2.39,0,0,0.0,69.2,9,0,5,18.2,18,2,3,275,20.6,42.0,65.8,36.7,1,0,19,0,40.0,72.6,11.1,2,3,0,0,0,0,0.0,40,3.1
Kai Horton,144418,QB,WASHINGTON,4,61.5,13,13,15.5,3.2,0,0,0.0,53.8,7,0,7,12.5,19,1,8,340,69.7,66.0,53.7,74.7,0,0,20,0,42.9,78.4,15.8,3,3,0,0,0,1,5.0,98,7.5
Brady Allen,156493,QB,LOUISVILLE,3,83.3,12,12,10.3,2.58,0,3,21.4,66.7,8,0,1,20.0,13,2,3,210,66.4,61.7,63.6,57.3,0,2,15,0,0.0,71.9,0.0,0,1,0,0,1,2,13.3,75,6.3
Cutter Woods,199951,QB,S CAROLINA,2,81.8,11,11,10.2,2.71,0,0,0.0,72.7,8,0,5,11.1,13,1,6,289,66.8,88.3,90.3,60.2,0,1,13,0,0.0,50.9,0.0,0,2,0,0,0,0,0.0,69,6.3
Brady Hart,199994,QB,TEXAS A&M,2,55.6,9,11,4.6,2.38,0,0,0.0,45.5,5,0,4,0.0,12,0,3,312,68.5,57.7,51.5,66.2,1,0,12,0,0.0,63.4,0.0,0,1,1,0,0,0,0.0,62,5.6
Matthew Sluka,143059,QB,JAMES MAD,4,72.7,11,11,13.3,2.58,0,2,15.4,72.7,8,0,4,0.0,15,0,5,197,79.7,88.3,60.9,85.7,0,2,17,3,50.0,100.6,13.3,2,2,0,0,3,2,11.8,100,9.1
Matthew Caldwell,150302,QB,TEXAS,4,72.7,11,11,12.5,2.16,0,0,0.0,72.7,8,0,1,0.0,11,0,6,311,69.9,90.2,83.3,75.7,0,0,11,0,0.0,125.2,0.0,0,0,0,0,1,0,0.0,85,7.7
Ui Ale,173036,QB,TROY,1,70.0,10,11,11.5,2.64,0,0,0.0,45.5,5,0,4,28.6,16,2,4,318,67.5,62.2,57.3,66.8,0,0,17,0,75.0,60.4,18.8,3,2,1,0,0,0,0.0,54,4.9
Robert McDaniel,199153,QB,S JOSE ST,3,30.0,10,11,7.5,2.93,1,0,0.0,27.3,3,0,7,0.0,16,0,2,285,66.7,40.8,38.2,60.6,0,1,17,0,42.9,1.7,18.8,3,2,0,0,0,1,5.9,19,1.7
Hauss Hejny,183824,QB,OKLA STATE,1,60.0,10,10,17.2,2.53,0,1,8.3,50.0,5,0,3,16.7,11,1,5,262,68.6,74.8,73.1,64.5,0,0,13,0,0.0,117.1,0.0,0,1,0,0,1,0,0.0,96,9.6
Nolan Good,198637,QB,KENT STATE,2,55.6,9,10,4.0,2.73,1,0,0.0,50.0,5,0,2,0.0,12,0,2,201,27.1,39.2,48.4,44.9,0,0,12,0,50.0,59.6,8.3,1,1,0,0,0,0,0.0,38,3.8
Arrington Maiden,184715,QB,MEMPHIS,4,50.0,10,10,13.7,2.89,0,1,9.1,50.0,5,0,3,0.0,12,0,3,218,30.6,68.3,70.6,61.0,0,0,13,0,33.3,68.3,8.3,1,1,0,0,0,1,7.7,59,5.9
Weston Bryan,207846,QB,GA SOUTHRN,8,80.0,10,10,16.7,1.74,0,2,18.2,70.0,7,0,0,12.5,11,1,3,174,79.1,84.6,78.8,74.0,0,0,12,0,,135.0,0.0,0,0,0,0,3,0,0.0,84,8.4
Jadyn Glasser,184670,QB,C MICHIGAN,1,87.5,8,10,5.0,2.76,0,0,0.0,70.0,7,0,10,0.0,13,0,5,134,71.6,80.1,71.2,72.6,1,0,14,0,20.0,92.9,15.4,2,1,1,0,0,0,0.0,78,7.8
Brock Glenn,170335,QB,FLORIDA ST,4,77.8,9,10,5.6,2.38,1,0,0.0,60.0,6,0,3,14.3,12,1,4,167,69.9,73.7,62.8,71.9,0,0,13,0,33.3,120.4,8.3,1,1,0,0,2,0,0.0,69,6.9
AJ Surace,184666,QB,RUTGERS,2,55.6,9,9,16.4,2.57,0,0,0.0,44.4,4,0,2,20.0,11,1,3,278,65.8,66.5,65.4,,0,0,12,0,100.0,105.6,18.2,2,0,0,0,2,0,0.0,58,6.4
Jordan Magwood,199666,QB,FAU,2,87.5,8,9,8.5,2.95,0,0,0.0,77.8,7,0,3,0.0,11,0,4,165,66.7,71.7,75.4,57.8,1,0,11,0,0.0,95.8,0.0,0,2,0,0,0,0,0.0,63,7.0
George MacIntyre,199971,QB,TENNESSEE,2,77.8,9,9,9.8,2.8,0,0,0.0,77.8,7,0,2,0.0,9,0,5,307,65.1,58.8,58.0,,0,0,9,0,0.0,94.4,0.0,0,0,0,0,0,0,0.0,60,6.7
Luke Kromenhoek,183305,QB,MISS STATE,3,85.7,7,9,12.4,3.38,1,0,0.0,55.6,5,0,5,16.7,13,1,3,227,69.4,62.2,51.2,69.7,1,0,14,0,40.0,82.2,15.4,2,2,0,0,0,1,7.1,73,8.1
Cole Feuerbacher,171447,QB,MO STATE,2,87.5,8,8,4.9,2.5,0,0,0.0,75.0,6,0,2,14.3,8,1,1,230,21.2,45.5,62.2,38.5,0,0,9,0,0.0,79.2,0.0,0,0,0,0,0,0,0.0,28,3.5
Landon Sims,200048,QB,WYOMING,4,100.0,7,8,4.3,2.77,0,0,0.0,75.0,6,0,4,14.3,10,1,4,351,73.8,86.6,80.7,73.4,1,0,10,0,25.0,124.0,10.0,1,1,0,0,1,0,0.0,38,4.8
Nick Poulos,188474,QB,OHIO,1,57.1,7,8,7.7,2.66,0,0,0.0,50.0,4,0,6,0.0,12,0,3,259,71.6,52.5,39.8,65.0,1,0,13,0,33.3,56.3,16.7,2,2,0,0,0,0,0.0,19,2.4
Zach Marker,173615,QB,DELAWARE,1,62.5,8,8,5.6,2.18,0,0,0.0,37.5,3,0,1,40.0,9,2,2,151,66.3,69.5,61.6,68.9,0,0,9,0,0.0,45.8,0.0,0,1,0,0,0,0,0.0,21,2.6
Shay Smith,188323,QB,UTEP,5,37.5,8,8,7.9,2.36,0,0,0.0,37.5,3,0,1,0.0,9,0,0,330,74.5,46.5,29.1,65.7,0,0,12,0,0.0,45.8,0.0,0,0,0,0,0,2,16.7,11,1.4
Luke Carney,199218,QB,SYRACUSE,3,71.4,7,7,5.6,2.98,0,0,0.0,71.4,5,0,4,0.0,12,0,2,304,70.5,59.8,58.6,59.9,0,0,12,0,50.0,74.7,16.7,2,3,0,0,0,0,0.0,22,3.1
Mike Wright Jr.,124366,QB,E CAROLINA,3,66.7,6,7,8.0,2.76,0,0,0.0,42.9,3,0,3,25.0,7,1,0,156,77.6,68.3,57.7,70.0,0,0,7,0,0.0,50.3,0.0,0,0,0,1,0,0,0.0,13,1.9
Ryan Boe,190878,QB,NWESTERN,4,28.6,7,7,11.1,2.93,0,0,0.0,28.6,2,0,3,0.0,8,0,2,256,73.0,72.6,39.4,83.0,0,1,9,0,0.0,0.0,0.0,0,1,0,0,0,0,0.0,17,2.4
Malachi Toney,200155,WR,MIAMI FL,6,57.1,7,7,14.1,3.09,0,1,12.5,57.1,4,1,3,0.0,8,0,4,220,58.9,87.6,83.8,71.4,0,0,9,4,0.0,138.1,0.0,0,1,0,0,2,0,0.0,82,11.7
Lex Thomas,170381,QB,NC STATE,2,60.0,5,7,8.6,3.63,0,0,0.0,28.6,2,0,3,33.3,7,1,1,248,11.6,39.0,37.9,,0,0,7,0,0.0,39.6,0.0,0,0,0,2,0,1,14.3,18,2.6
Billy Wiles,144144,QB,APP STATE,2,85.7,7,7,7.1,2.81,0,0,0.0,85.7,6,0,5,0.0,12,0,4,108,20.3,51.1,49.1,60.6,0,1,13,0,60.0,96.4,25.0,3,2,0,0,1,2,15.4,50,7.1
Devin Brown,156479,QB,CAL,4,57.1,7,7,11.3,3.6,0,0,0.0,57.1,4,0,4,0.0,9,0,3,130,66.3,41.6,39.4,59.7,0,1,9,0,50.0,78.3,22.2,2,0,0,0,1,1,11.1,48,6.9
Anthony Garcia,174863,WR,UTAH ST,7,85.7,7,7,13.1,3.24,0,1,11.1,85.7,6,0,1,0.0,7,0,5,329,74.9,62.0,88.0,79.6,0,0,9,2,0.0,153.3,0.0,0,0,0,0,4,0,0.0,79,11.3
Hunter Herring,147138,QB,LA MONROE,6,42.9,7,7,15.0,3.26,0,0,0.0,42.9,3,0,3,0.0,8,0,4,209,41.1,58.9,36.3,65.0,0,2,9,1,0.0,78.3,0.0,0,1,0,0,1,2,22.2,68,9.7
Nate Bennett,184815,QB,BAYLOR,1,71.4,7,7,6.6,2.57,0,0,0.0,71.4,5,0,1,0.0,7,0,2,118,64.6,69.6,68.8,,0,0,7,0,0.0,81.8,0.0,0,0,0,0,0,0,0.0,34,4.9
Samaj Jones,183797,QB,CINCINNATI,2,85.7,7,7,2.7,2.26,0,0,0.0,57.1,4,0,0,33.3,9,2,3,138,32.4,65.1,68.5,60.7,0,0,9,0,,132.1,0.0,0,2,0,0,1,0,0.0,72,10.3
Reese Poffenbarger,145346,QB,N TEXAS,2,85.7,7,7,8.6,2.74,0,0,0.0,71.4,5,0,1,16.7,8,1,3,251,69.0,53.9,44.2,64.3,0,0,8,0,0.0,83.0,0.0,0,1,0,0,0,1,12.5,36,5.1
Julian Dugger,183269,QB,WASH STATE,4,33.3,6,6,5.3,3.7,0,0,0.0,33.3,2,0,7,0.0,13,0,2,341,33.3,66.3,59.5,62.3,0,0,13,0,57.1,56.9,30.8,4,3,0,0,0,0,0.0,39,6.5
Josh Flowers,184255,QB,ARK STATE,2,50.0,6,6,9.5,1.95,0,0,0.0,33.3,2,0,1,33.3,6,1,2,113,72.2,68.7,52.9,70.4,0,1,6,0,0.0,42.4,0.0,0,0,0,0,1,1,16.7,13,2.2
Ethan Houck,198664,QB,LIBERTY,2,20.0,5,6,17.4,2.69,1,1,16.7,16.7,1,0,1,0.0,7,0,1,206,71.6,40.9,27.2,69.5,0,1,7,1,100.0,0.0,14.3,1,0,0,0,0,2,28.6,17,2.8
Davi Belfort,184926,QB,UCF,3,66.7,6,6,12.0,3.88,0,0,0.0,66.7,4,0,3,0.0,10,0,4,323,30.0,58.3,26.8,75.3,0,1,10,1,66.7,54.9,20.0,2,2,0,0,0,2,20.0,53,8.8
Brennen Ward,200146,QB,KENTUCKY,1,100.0,5,6,5.2,2.6,1,0,0.0,50.0,3,0,2,40.0,6,2,1,202,64.6,80.9,80.5,,0,0,7,0,0.0,61.1,0.0,0,0,0,0,0,0,0.0,25,4.2
Parker Kingston,163251,WR,BYU,6,20.0,5,6,20.6,3.87,0,0,0.0,16.7,1,0,3,0.0,7,0,1,128,58.6,73.0,45.9,65.5,0,0,7,5,0.0,42.4,0.0,0,1,0,1,0,0,0.0,22,3.7
Au'Tori Newkirk,205242,QB,N CAROLINA,2,50.0,6,6,12.2,2.35,0,0,0.0,50.0,3,0,2,0.0,6,0,2,245,67.1,43.8,37.2,64.8,0,1,7,0,0.0,59.7,0.0,0,0,0,0,1,1,14.3,23,3.8
Jackson Proctor,148851,QB,N ILLINOIS,1,60.0,5,6,1.8,1.85,1,0,0.0,33.3,2,0,1,33.3,6,1,0,254,67.0,51.9,47.8,60.5,0,0,6,0,0.0,42.4,0.0,0,0,0,0,0,0,0.0,8,1.3
Jacurri Brown,156344,QB,UCF,2,60.0,5,5,12.2,2.84,0,0,0.0,60.0,3,0,3,0.0,9,0,3,323,18.7,46.5,37.4,56.7,0,1,9,0,0.0,104.2,0.0,0,3,0,0,1,1,11.1,97,19.4
Trent Pearman,156233,QB,CLEMSON,2,50.0,4,5,19.8,2.8,0,1,20.0,40.0,2,0,3,0.0,5,0,1,140,16.1,61.0,79.1,44.7,0,0,5,0,0.0,64.6,0.0,0,0,0,1,0,0,0.0,35,7.0
Will Wilson,198972,QB,NC STATE,4,60.0,5,5,8.0,2.59,0,0,0.0,60.0,3,0,4,0.0,8,0,3,248,80.7,82.2,29.1,81.2,0,1,8,0,0.0,25.8,0.0,0,3,0,0,0,1,12.5,16,3.2
Max Shikenjanski,173421,QB,MINNESOTA,1,100.0,5,5,8.6,2.47,0,1,20.0,80.0,4,0,2,20.0,6,1,2,225,67.0,77.9,79.7,61.4,0,0,6,0,50.0,158.3,16.7,1,0,0,0,1,0,0.0,80,16.0
Bryson Graves,175806,WR,COAST CAR,6,100.0,5,5,15.0,3.97,0,0,0.0,80.0,4,0,3,20.0,7,1,2,141,65.8,61.3,65.5,,0,0,7,2,66.7,158.3,28.6,2,0,0,0,1,1,14.3,147,29.4
Alex Manske,198567,QB,IOWA STATE,1,80.0,5,5,3.4,2.5,0,0,0.0,80.0,4,0,0,0.0,7,0,3,193,69.8,64.6,58.3,64.2,0,0,8,0,,90.0,0.0,0,2,0,0,0,0,0.0,28,5.6
Luke Moga,184857,QB,OREGON,2,60.0,5,5,5.6,2.23,0,0,0.0,60.0,3,0,0,0.0,6,0,2,264,68.1,72.2,56.0,75.1,0,0,7,0,,100.4,0.0,0,1,0,0,0,0,0.0,58,11.6
